company_id,company_name,broad_sector,operating_activity,financing_activity,distress_flag
ABB,Abbott India Ltd,Industrials,6038.0,-543.0,0
ADANIENSOL,Adani Energy Solutions Ltd,Energy,6038.0,-543.0,0
ADANIENT,Adani Enterprises Ltd,Industrials,10312.0,8879.0,0
ADANIGREEN,Adani Green Energy Ltd,Energy,7713.0,13953.0,0
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Industrials,15018.0,-7800.0,0
ADANIPOWER,Adani Power Ltd,Energy,14170.0,-16864.0,0
AMBUJACEM,Ambuja Cements Ltd,Materials,5646.0,5689.0,0
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,1920.0,-311.0,0
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,6104.0,-2982.0,0
AXISBANK,Axis Bank Ltd,Financials,-5555.0,22341.0,1
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,6558.0,-6167.0,0
BAJAJFINSV,Bajaj Finserv Ltd,Financials,-68674.0,82709.0,1
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,1941.0,-1455.0,0
BAJFINANCE,Bajaj Finance Ltd,Financials,-72760.0,82415.0,1
BANKBARODA,Bank of Baroda,Financials,-6274.0,5476.0,1
BEL,Bharat Electronics Ltd,Industrials,4659.0,-1475.0,0
BHARTIARTL,Bharti Airtel Ltd,Communication Services,78898.0,-27778.0,0
BHEL,Bharat Heavy Electricals Limited,Industrials,-3713.0,2656.0,1
BOSCHLTD,Bosch Ltd,Consumer Discretionary,1253.0,-1452.0,0
BPCL,Bharat Petroleum Corporation Ltd,Energy,35936.0,-25427.0,0
BRITANNIA,Britannia Industries Ltd,Consumer Staples,2573.0,-2830.0,0
CANBK,Canara Bank,Financials,15046.0,-3834.0,0
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,-35683.0,38471.0,1
CIPLA,Cipla Ltd,Healthcare,4134.0,-1200.0,0
COALINDIA,Coal India Ltd,Materials,18103.0,-13899.0,0
DABUR,Dabur India Ltd,Consumer Staples,2013.0,-1161.0,0
DIVISLAB,Divis Laboratories Ltd,Healthcare,1261.0,-799.0,0
DLF,DLF Ltd,Real Estate,2539.0,177.0,0
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2746.0,-148.0,0
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,4543.0,-376.0,0
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,3724.0,-844.0,0
GAIL,GAIL (India) Ltd,Energy,12586.0,-3457.0,0
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2070.0,1406.0,0
GRASIM,Grasim Industries Ltd,Industrials,-10719.0,33908.0,1
HAL,Hindustan Aeronautics Ltd,Industrials,8226.0,-1999.0,0
HAVELLS,Havells India Ltd,Industrials,1953.0,-534.0,0
HCLTECH,HCL Technologies Ltd,Information Technology,22448.0,-15464.0,0
HDFCBANK,HDFC Bank Ltd,Financials,19069.0,-3983.0,0
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,10721.0,-403.0,0
HEROMOTOCO,Hero MotoCorp Ltd,Consumer Discretionary,4923.0,-2717.0,0
HINDALCO,Hindalco Industries Ltd,Materials,24056.0,-10817.0,0
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,15469.0,-10034.0,0
ICICIBANK,ICICI Bank Ltd,Financials,157284.0,13765.0,0
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,2407.0,-355.0,0
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,-7315.0,-88.0,0
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,21183.0,-9979.0,0
INDUSINDBK,IndusInd Bank Ltd,Financials,-16843.0,-2242.0,0
INFY,Infosys Ltd,Information Technology,25210.0,-17504.0,0
IOC,Indian Oil Corporation,Energy,71099.0,-39385.0,0
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,882.0,-404.0,0
IRFC,Indian Railway Finance Corporation Ltd,Financials,7914.0,-8046.0,0
ITC,ITC Ltd,Consumer Staples,17179.0,-18551.0,0
JINDALSTEL,Jindal Steel & Power Ltd,Materials,6008.0,1381.0,0
JIOFIN,Jio Financial Services Ltd,Financials,-678.0,-753.0,0
JSWENERGY,JSW Energy Ltd,Energy,6234.0,1675.0,0
JSWSTEEL,JSW Steel Ltd,Materials,12078.0,-5005.0,0
KOTAKBANK,Kotak Mahindra Bank Ltd,Financials,15685.0,15515.0,0
LICI,Life Insurance Corporation of India,Financials,26122.0,-4427.0,0
LODHA,Macrotech Developers Ltd,Real Estate,2512.0,951.0,0
LT,Larsen & Toubro Ltd,Industrials,18266.0,-25413.0,0
LTIM,LTIMindtree Ltd,Information Technology,5670.0,-2269.0,0
MM,Mahindra & Mahindra Ltd,Consumer Discretionary,-5630.0,12281.0,1
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,16801.0,-4062.0,0
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,7569.0,1281.0,0
NAUKRI,Info Edge (India) Ltd,Communication Services,702.0,120.0,0
NESTLEIND,Nestle India Ltd,Consumer Staples,4175.0,-3135.0,0
NHPC,NHPC Ltd,Energy,6938.0,-581.0,0
NTPC,NTPC Ltd,Energy,40785.0,-8246.0,0
ONGC,Oil & Natural Gas Corpn Ltd,Energy,99263.0,-45650.0,0
PFC,Power Finance Corporation Ltd,Financials,-97820.0,101261.0,1
PIDILITIND,Pidilite Industries Ltd,Materials,2724.0,-742.0,0
PNB,Punjab National Bank,Financials,-27939.0,3518.0,1
POWERGRID,Power Grid Corporation of India Ltd,Energy,37290.0,-25903.0,0
RECLTD,REC Ltd,Financials,-57723.0,59588.0,1
RELIANCE,Reliance Industries Ltd,Energy,158788.0,-16646.0,0
SBILIFE,SBI Life Insurance Company Ltd,Financials,29122.0,-227.0,0
SBIN,State Bank of India,Financials,21632.0,-9896.0,0
SHREECEM,Shree Cement Ltd,Materials,3347.0,-1710.0,0
SHRIRAMFIN,Shriram Finance Ltd,Financials,-31101.0,27609.0,1
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,12135.0,-6710.0,0
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,1937.0,256.0,0
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67915.0,-37006.0,0
TATAPOWER,Tata Power Company Ltd,Energy,12596.0,-4497.0,0
TATASTEEL,Tata Steel Ltd,Materials,20301.0,-11097.0,0
TCS,Tata Consultancy Services Ltd,Information Technology,44338.0,-48536.0,0
TECHM,Tech Mahindra Ltd,Information Technology,6376.0,-4767.0,0
TITAN,Titan Company Ltd,Consumer Discretionary,1695.0,-1329.0,0
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,3266.0,-2780.0,0
TRENT,Trent Ltd,Consumer Discretionary,1349.0,-629.0,0
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,-1253.0,2759.0,1
