company_id,year,sub_sector,computed_roce,sector_median_roce,deviation_from_median,classification,anomaly_flag,note
AXISBANK,2013-03,Private Banks,2.4167,5.4381,-3.0214,Underperforming,0,Normal
AXISBANK,2014-03,Private Banks,2.4968,4.8208,-2.324,Underperforming,0,Normal
AXISBANK,2015-03,Private Banks,2.3741,5.4554,-3.0813,Underperforming,0,Normal
AXISBANK,2016-03,Private Banks,2.4582,5.1696,-2.7114,Underperforming,0,Normal
AXISBANK,2017-03,Private Banks,3.9908,5.4019,-1.4111,Underperforming,0,Normal
AXISBANK,2018-03,Private Banks,4.1927,4.8699,-0.6772,Underperforming,0,Normal
AXISBANK,2019-03,Private Banks,3.3913,4.1639,-0.7726,Underperforming,0,Normal
AXISBANK,2020-03,Private Banks,3.8807,4.5957,-0.7149,Underperforming,0,Normal
AXISBANK,2021-03,Private Banks,3.2281,4.4158,-1.1877,Underperforming,0,Normal
AXISBANK,2022-03,Private Banks,2.5416,5.0983,-2.5567,Underperforming,0,Normal
AXISBANK,2023-03,Private Banks,1.2478,3.9468,-2.699,Underperforming,0,Normal
AXISBANK,2024-03,Private Banks,2.5207,4.166,-1.6453,Underperforming,0,Normal
BAJAJFINSV,2013-03,Diversified Financials,18.7996,5.4381,13.3616,Outperforming,0,Normal
BAJAJFINSV,2014-03,Diversified Financials,15.4759,4.8208,10.6551,Outperforming,0,Normal
BAJAJFINSV,2015-03,Diversified Financials,14.6333,5.4554,9.1779,Outperforming,0,Normal
BAJAJFINSV,2016-03,Diversified Financials,13.4532,5.1696,8.2836,Outperforming,0,Normal
BAJAJFINSV,2017-03,Diversified Financials,13.4093,5.4019,8.0074,Outperforming,0,Normal
BAJAJFINSV,2018-03,Diversified Financials,12.3326,4.8699,7.4627,Outperforming,0,Normal
BAJAJFINSV,2019-03,Diversified Financials,11.9933,4.1639,7.8294,Outperforming,0,Normal
BAJAJFINSV,2020-03,Diversified Financials,11.2299,4.5957,6.6343,Outperforming,0,Normal
BAJAJFINSV,2021-03,Diversified Financials,11.6519,4.4158,7.2361,Outperforming,0,Normal
BAJAJFINSV,2022-03,Diversified Financials,10.372,5.0983,5.2737,Outperforming,0,Normal
BAJAJFINSV,2023-03,Diversified Financials,11.2846,3.9468,7.3378,Outperforming,0,Normal
BAJAJFINSV,2024-03,Diversified Financials,11.4487,4.166,7.2827,Outperforming,0,Normal
BAJAJHLDNG,2013-03,Holding Companies,3.0933,5.4381,-2.3448,Underperforming,0,Normal
BAJAJHLDNG,2014-03,Holding Companies,3.2919,4.8208,-1.5289,Underperforming,0,Normal
BAJAJHLDNG,2015-03,Holding Companies,3.569,5.4554,-1.8864,Underperforming,0,Normal
BAJAJHLDNG,2016-03,Holding Companies,2.7725,5.1696,-2.3971,Underperforming,0,Normal
BAJAJHLDNG,2017-03,Holding Companies,3.4965,5.4019,-1.9054,Underperforming,0,Normal
BAJAJHLDNG,2018-03,Holding Companies,1.3888,4.8699,-3.4811,Underperforming,0,Normal
BAJAJHLDNG,2019-03,Holding Companies,1.2726,4.1639,-2.8913,Underperforming,0,Normal
BAJAJHLDNG,2020-03,Holding Companies,0.9595,4.5957,-3.6361,Underperforming,0,Normal
BAJAJHLDNG,2021-03,Holding Companies,0.8525,4.4158,-3.5633,Underperforming,0,Normal
BAJAJHLDNG,2022-03,Holding Companies,0.7752,5.0983,-4.3231,Underperforming,0,Normal
BAJAJHLDNG,2023-03,Holding Companies,0.7815,3.9468,-3.1653,Underperforming,0,Normal
BAJAJHLDNG,2024-03,Holding Companies,2.8135,4.166,-1.3525,Underperforming,0,Normal
BAJFINANCE,2015-03,Consumer Finance,5.4554,5.4554,0.0,Outperforming,0,Normal
BAJFINANCE,2016-03,Consumer Finance,5.1696,5.1696,0.0,Outperforming,0,Normal
BAJFINANCE,2017-03,Consumer Finance,5.4019,5.4019,0.0,Outperforming,0,Normal
BAJFINANCE,2018-03,Consumer Finance,4.8699,4.8699,0.0,Outperforming,0,Normal
BAJFINANCE,2019-03,Consumer Finance,4.3781,4.1639,0.2142,Outperforming,0,Normal
BAJFINANCE,2020-03,Consumer Finance,5.4671,4.5957,0.8715,Outperforming,0,Normal
BAJFINANCE,2021-03,Consumer Finance,6.2378,4.4158,1.822,Outperforming,0,Normal
